exam_type,year,college_code,college_name,category,branch_code,branch_full_name,closing_rank
COMEDK,2025,E005,"Akash Institute of Engineering and Technology- Devanahalli, Bengaluru Rural",GM,CY,CY-Computer Science & Engineering (Cyber Security),104762
COMEDK,2025,E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,CS,CS-Computer Science & Engineering,107287
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,CS,CS-Computer Science & Engineering,106002
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,CV,CV-Civil Engineering,62003
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",KKR,CS,CS-Computer Science & Engineering,108388
COMEDK,2025,E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",GM,CS,CS-Computer Science & Engineering,76135
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,CS,CS-Computer Science & Engineering,99556
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",KKR,CS,CS-Computer Science & Engineering,89608
COMEDK,2025,E014,"Anuvartik Mirji Bharatesh Institute of Technology- Shindhollicross, Belagavi",GM,CS,CS-Computer Science & Engineering,97950
COMEDK,2025,E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,CS,CS-Computer Science & Engineering,36964
COMEDK,2025,E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",KKR,CS,CS-Computer Science & Engineering,52860
COMEDK,2025,E016,"KLE Technological University Formerly known as BVBCET- Vidyanagar, Hubballi",GM,CS,CS-Computer Science & Engineering,41897
COMEDK,2025,E016,"KLE Technological University Formerly known as BVBCET- Vidyanagar, Hubballi",GM,CV,CV-Civil Engineering,111127
COMEDK,2025,E016,"KLE Technological University Formerly known as BVBCET- Vidyanagar, Hubballi",KKR,CS,CS-Computer Science & Engineering,41231
COMEDK,2025,E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,CS,CS-Computer Science & Engineering,16385
COMEDK,2025,E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,CV,CV-Civil Engineering,99127
COMEDK,2025,E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,CS,CS-Computer Science & Engineering,28602
COMEDK,2025,E020,"Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru",GM,CS,CS-Computer Science & Engineering,53793
COMEDK,2025,E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,CS,CS-Computer Science & Engineering,111716
COMEDK,2025,E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",KKR,CS,CS-Computer Science & Engineering,109579
COMEDK,2025,E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,CS,CS-Computer Science & Engineering,103197
COMEDK,2025,E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",KKR,CS,CS-Computer Science & Engineering,83003
COMEDK,2025,E026,"BLDEAs V.P. Dr.P.G.Halakatti College of Engineering and Technology-Ashram Road, Vijayapura",GM,CS,CS-Computer Science & Engineering,105699
COMEDK,2025,E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,CS,CS-Computer Science & Engineering,5312
COMEDK,2025,E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,CV,CV-Civil Engineering,47626
COMEDK,2025,E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,CS,CS-Computer Science & Engineering,14570
COMEDK,2025,E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,CV,CV-Civil Engineering,68362
COMEDK,2025,E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,CS,CS-Computer Science & Engineering,19940
COMEDK,2025,E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,CV,CV-Civil Engineering,98771
COMEDK,2025,E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",KKR,CS,CS-Computer Science & Engineering,40297
COMEDK,2025,E032,"CMR Institute of Technology-Brookefield, Bengaluru",GM,CS,CS-Computer Science & Engineering,26223
COMEDK,2025,E032,"CMR Institute of Technology-Brookefield, Bengaluru",KKR,CS,CS-Computer Science & Engineering,45058
COMEDK,2025,E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",GM,CS,CS-Computer Science & Engineering,110484
COMEDK,2025,E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",KKR,CS,CS-Computer Science & Engineering,106519
COMEDK,2025,E035,"Channabasaveshwara Institute of Technology- Gubbi, Tumakuru",GM,CS,CS-Computer Science & Engineering,77710
COMEDK,2025,E037,"City Engineering College-Doddakalasandra, Bengaluru",GM,CS,CS-Computer Science & Engineering,99239
COMEDK,2025,E039,Dayananda Sagar Academy of Technology and Management,GM,CS,CS-Computer Science & Engineering,58956
COMEDK,2025,E039,Dayananda Sagar Academy of Technology and Management,GM,CY,CY-Computer Science & Engineering (Cyber Security),70639
COMEDK,2025,E039,Dayananda Sagar Academy of Technology and Management,KKR,CS,CS-Computer Science & Engineering,65823
COMEDK,2025,E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,CS,CS-Computer Science & Engineering,7819
COMEDK,2025,E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,CV,CV-Civil Engineering,65128
COMEDK,2025,E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,CY,CY-Computer Science & Engineering (Cyber Security),9105
COMEDK,2025,E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",KKR,CS,CS-Computer Science & Engineering,18974
COMEDK,2025,E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",KKR,CY,CY-Computer Science & Engineering (Cyber Security),21259
COMEDK,2025,E041,"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",GM,CS,CS-Computer Science & Engineering,78693
COMEDK,2025,E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",GM,CS,CS-Computer Science & Engineering,82800
COMEDK,2025,E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",KKR,CS,CS-Computer Science & Engineering,70948
COMEDK,2025,E045,Dr H N National College of Engineering,GM,CS,CS-Computer Science & Engineering,77721
COMEDK,2025,E046,East Point College of Engineering and Technology,GM,CS,CS-Computer Science & Engineering,87819
COMEDK,2025,E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,CS,CS-Computer Science & Engineering,88757
COMEDK,2025,E049,"Garden City University-Old Madras Road, Bengaluru",GM,CN,CN-Computer Science & Technology,79136
COMEDK,2025,E049,"Garden City University-Old Madras Road, Bengaluru",GM,CS,CS-Computer Science & Engineering,71823
